policy_id,category,status,policy_decision,final_decision,decision_match,triggered_policies,message,fields,unsat_reasons
dp_vietnam_localisation_policy,Data Privacy & PII Protection,TRIGGERED,human_approval_required,human_agent_required,False,dp_vietnam_localisation_policy;cig_data_localisation_transfer_policy,vietnam data localisation.,{},
fs_vendor_payment_run_release_policy,Financial Services & Banking,TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;fs_vendor_payment_run_release_policy,Please process this routine request.,"{""task_type"": ""vendor_payment_run"", ""amount"": 100000}",
fs_financial_hardship_assistance_policy,Financial Services & Banking,TRIGGERED,human_approval_required,human_agent_required,False,fs_financial_hardship_assistance_policy;esg_financial_hardship_routing_policy,financial hardship.,{},
fs_product_mis_selling_complaint_policy,Financial Services & Banking,TRIGGERED,human_approval_required,human_agent_required,False,fs_product_mis_selling_complaint_policy;ins_misselling_allegation_takeover_policy,mis-sold this product.,{},
ins_low_value_claim_fast_track_policy,Insurance & Claims Governance,TRIGGERED,allow,human_approval_required,False,high_value_refund_policy;ins_low_value_claim_fast_track_policy,Please process this routine request.,"{""task_type"": ""claim_approval"", ""amount"": 999}",
ins_large_loss_reserve_committee_policy,Insurance & Claims Governance,TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;ins_large_loss_reserve_committee_policy,Please process this routine request.,"{""task_type"": ""reserve_setting"", ""amount"": 250000}",
hc_genetic_result_disclosure_policy,Healthcare & Life Sciences,TRIGGERED,human_agent_required,block,False,ins_genetic_test_underwriting_block_policy;hc_genetic_result_disclosure_policy,genetic test results.,{},
aim_customer_explanation_request_policy,AI Model Governance & Explainability,TRIGGERED,allow,human_approval_required,False,fs_credit_decline_review_request_policy;aim_customer_explanation_request_policy,why was my loan declined.,{},
sec_production_pentest_scheduling_policy,Cybersecurity & Access Control,TRIGGERED,human_approval_required,block,False,production_database_access_policy;fs_core_banking_production_access_block_policy;sec_production_pentest_scheduling_policy,penetration test. production database.,{},
aml_austrac_ttr_filing_policy,"Fraud, AML & Financial Crime",TRIGGERED,allow,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;aml_austrac_ttr_filing_policy,Please process this routine request.,"{""task_type"": ""threshold_transaction_report"", ""amount"": 10000}",
hr_severance_amount_review_policy,HR & Workplace AI,TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;hr_severance_amount_review_policy,severance package.,"{""amount"": 10000}",
hr_medical_certificate_exposure_policy,HR & Workplace AI,TRIGGERED,human_approval_required,human_agent_required,False,hc_medical_certificate_issuance_policy;hr_medical_certificate_exposure_policy,diagnosis on the medical certificate.,{},
lrc_demand_letter_dispatch_policy,"Legal, Regulatory & Compliance",TRIGGERED,human_approval_required,human_agent_required,False,ins_third_party_recovery_action_policy;lrc_demand_letter_dispatch_policy,letter of demand.,{},
lrc_court_deadline_calendaring_policy,"Legal, Regulatory & Compliance",TRIGGERED,allow,human_agent_required,False,legal_escalation_policy;lrc_legal_escalation_intake_policy;lrc_court_deadline_calendaring_policy,court filing deadline.,{},
lrc_contract_execution_threshold_policy,"Legal, Regulatory & Compliance",TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;lrc_contract_execution_threshold_policy,Please process this routine request.,"{""task_type"": ""contract_execution"", ""amount"": 250000}",
lrc_material_contract_auto_renewal_policy,"Legal, Regulatory & Compliance",TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;lrc_material_contract_auto_renewal_policy,Please process this routine request.,"{""task_type"": ""contract_auto_renewal"", ""amount"": 50000}",
cig_licence_fee_payment_policy,"Telecom, Critical Infrastructure & Government",TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;cig_licence_fee_payment_policy,Please process this routine request.,"{""task_type"": ""licence_fee_payment"", ""amount"": 50001}",
rec_counterfeit_listing_takedown_policy,"Retail, E-commerce & Consumer Protection",TRIGGERED,human_approval_required,human_agent_required,False,rec_counterfeit_listing_takedown_policy;ipc_reseller_brand_misuse_policy,counterfeit listing.,{},
rec_new_account_high_value_first_order_policy,"Retail, E-commerce & Consumer Protection",TRIGGERED,allow,human_approval_required,False,high_value_refund_policy;rec_new_account_high_value_first_order_policy,Please process this routine request.,"{""customer_tier"": ""new_customer"", ""amount"": 3001}",
ipc_departing_employee_code_hoard_policy,Intellectual Property & Confidentiality,TRIGGERED,human_agent_required,block,False,pii_data_export_policy;ipc_departing_employee_code_hoard_policy,download all repositories.,{},
esg_routine_sponsorship_approval_policy,ESG & Responsible AI,TRIGGERED,human_approval_required,human_agent_required,False,high_value_refund_policy;large_financial_exposure_policy;esg_routine_sponsorship_approval_policy,Please process this routine request.,"{""task_type"": ""sponsorship_request"", ""amount"": 24999}",
